iter	RMSE
0	22200.61276
1	21802.57372
2	21335.22423
3	20818.74758
4	20325.20522
5	19863.59325
6	19466.76983
7	19045.49864
8	18684.17414
9	18324.88409
10	17957.57175
11	17629.90197
12	17270.00499
13	16887.43321
14	16550.51022
15	16184.08352
16	15864.94002
17	15531.31404
18	15172.13214
19	14896.45698
20	14596.12121
21	14301.18335
22	14019.13236
23	13760.06512
24	13492.74394
25	13218.37783
26	12983.84487
27	12759.31957
28	12537.82194
29	12268.75567
30	12036.62459
31	11818.90798
32	11581.69391
33	11373.48021
34	11185.26835
35	10972.03943
36	10775.44367
37	10603.09524
38	10427.97426
39	10260.03055
40	10069.334
41	9883.048307
42	9684.611149
43	9513.469989
44	9353.524239
45	9216.650954
46	9059.324788
47	8911.770406
48	8773.98278
49	8628.162098
50	8503.406191
51	8355.471203
52	8226.97801
53	8103.06498
54	7988.603986
55	7872.177148
56	7771.300849
57	7634.69496
58	7523.233354
59	7413.779294
60	7302.651127
61	7194.204798
62	7100.685348
63	7013.501151
64	6913.897841
65	6830.522092
66	6717.608686
67	6642.801835
68	6549.223549
69	6461.371694
70	6361.865581
71	6291.740345
72	6222.211637
73	6157.467244
74	6074.202245
75	6008.466261
76	5935.263209
77	5864.115858
78	5804.509656
79	5736.707885
80	5674.144457
81	5614.464654
82	5551.85241
83	5488.628142
84	5428.037713
85	5369.606941
86	5314.687802
87	5255.60214
88	5198.100746
89	5148.934379
90	5091.191976
91	5037.561275
92	4990.250994
93	4931.157867
94	4892.160804
95	4845.873739
96	4803.231253
97	4756.368698
98	4710.052224
99	4667.440586
100	4618.164083
101	4575.905072
102	4535.109166
103	4490.342009
104	4453.478182
105	4413.05511
106	4378.729804
107	4346.892538
108	4308.355627
109	4268.715442
110	4232.747391
111	4199.002845
112	4169.674511
113	4140.054729
114	4106.435009
115	4074.023767
116	4043.380146
117	4017.850743
118	3995.935702
119	3965.578284
120	3941.530566
121	3916.298965
122	3885.352281
123	3862.69501
124	3839.687948
125	3815.086774
126	3788.784889
127	3764.849961
128	3742.959197
129	3722.628897
130	3701.596534
131	3680.273886
132	3652.736755
133	3629.14173
134	3609.075489
135	3591.039072
136	3569.961273
137	3552.971818
138	3533.561023
139	3517.665896
140	3497.651893
141	3479.231908
142	3461.171354
143	3442.127929
144	3424.223638
145	3397.051154
146	3372.714586
147	3355.229982
148	3339.426793
149	3321.542031
150	3301.386342
151	3284.966465
152	3270.138665
153	3256.106294
154	3234.966251
155	3218.458573
156	3206.595545
157	3193.695705
158	3180.650037
159	3170.400659
160	3153.767663
161	3142.87562
162	3128.79846
163	3110.901512
164	3096.990521
165	3078.971729
166	3062.2326
167	3040.886571
168	3027.943119
169	3010.329356
170	2997.622441
171	2978.364075
172	2963.062163
173	2943.389271
174	2929.986398
175	2911.072298
176	2899.255746
177	2887.460404
178	2868.777924
179	2857.286004
180	2849.918961
181	2840.902053
182	2830.477028
183	2816.18355
184	2801.171276
185	2794.312989
186	2778.117886
187	2763.109964
188	2750.542147
189	2733.986742
190	2721.088649
191	2707.434991
192	2691.369104
193	2673.306809
194	2658.074199
195	2645.56942
196	2636.321927
197	2622.183825
198	2608.435027
199	2601.753731
200	2580.087181
201	2572.542965
202	2566.023546
203	2558.684476
204	2553.01068
205	2541.819801
206	2530.313805
207	2519.860701
208	2509.908218
209	2493.161706
210	2476.674722
211	2468.03045
212	2453.811555
213	2440.787839
214	2431.392431
215	2421.827484
216	2406.250523
217	2397.697617
218	2381.134223
219	2374.558396
220	2365.202065
221	2352.988239
222	2340.382147
223	2329.295124
224	2320.208795
225	2311.832372
226	2301.827336
227	2283.656044
228	2273.086645
229	2264.128834
230	2256.134991
231	2249.17464
232	2236.012663
233	2229.477746
234	2220.565474
235	2201.21522
236	2197.936894
237	2188.607944
238	2173.530223
239	2164.835278
240	2157.945699
