iter	RMSE
0	9469.336338
1	9437.756889
2	9408.167157
3	9377.271596
4	9346.61505
5	9316.905133
6	9286.246841
7	9257.881775
8	9230.63867
9	9201.078997
10	9173.974048
11	9144.4467
12	9114.86248
13	9087.068306
14	9057.987811
15	9029.672067
16	9000.187869
17	8972.806613
18	8943.672246
19	8917.490231
20	8889.226055
21	8862.153946
22	8833.305121
23	8807.602306
24	8779.828633
25	8752.641652
26	8725.240844
27	8699.356857
28	8672.351568
29	8645.523466
30	8618.870125
31	8592.828311
32	8567.527376
33	8542.33897
34	8516.961637
35	8491.733702
36	8466.961364
37	8441.590907
38	8418.625995
39	8394.343893
40	8368.018275
41	8343.869279
42	8321.144602
43	8296.265667
44	8272.960002
45	8248.822251
46	8226.298406
47	8202.64087
48	8179.769374
49	8156.406887
50	8133.516178
51	8111.582983
52	8088.80215
53	8067.108003
54	8046.088619
55	8024.536915
56	8004.280437
57	7983.28161
58	7962.181143
59	7941.985813
60	7922.574137
61	7901.81223
62	7878.545772
63	7858.098485
64	7837.798474
65	7818.706489
66	7798.219018
67	7777.923019
68	7757.102245
69	7736.986183
70	7715.815754
71	7695.675726
72	7676.406298
73	7655.999395
74	7637.060003
75	7616.814792
76	7596.686188
77	7578.249669
78	7559.349571
79	7540.971705
80	7523.017544
81	7505.139953
82	7486.433853
83	7468.472306
84	7451.057801
85	7432.566374
86	7415.396834
87	7398.392185
88	7382.445737
89	7365.050384
90	7346.80683
91	7329.762759
92	7311.688673
93	7294.294409
94	7277.555206
95	7260.770104
96	7241.980342
97	7224.650115
98	7208.92928
99	7191.79802
100	7175.280616
101	7160.339662
102	7145.284984
103	7129.222163
104	7114.17869
105	7099.654411
106	7084.48911
107	7067.98162
108	7053.865341
109	7038.67378
110	7023.763677
111	7009.091314
112	6993.014571
113	6978.767576
114	6963.510451
115	6949.236431
116	6934.414707
117	6918.896517
118	6904.898912
119	6891.693234
120	6878.496721
121	6862.429294
122	6848.632893
123	6833.932956
124	6818.012865
125	6805.526718
126	6792.513197
127	6779.024811
128	6766.757221
129	6754.292124
130	6741.24946
131	6726.147485
132	6713.550597
133	6700.790875
134	6687.593161
135	6673.314871
136	6660.541583
137	6647.196164
138	6633.418945
139	6618.397919
140	6605.393354
141	6593.035319
142	6580.658575
143	6569.267195
144	6556.924786
145	6545.188525
146	6535.695004
147	6523.370929
148	6512.754319
149	6502.068345
150	6490.826665
151	6478.571916
152	6466.975055
153	6454.598314
154	6442.481126
155	6431.411098
156	6420.090713
157	6408.673719
158	6397.890138
159	6387.177989
160	6375.842504
161	6365.449216
162	6355.376627
163	6343.688161
164	6332.864098
165	6321.689176
166	6311.260786
167	6299.169151
168	6288.692176
169	6278.444881
170	6268.520807
171	6257.95485
172	6246.401477
173	6236.850473
174	6226.267741
175	6216.093131
176	6205.974075
177	6196.196461
178	6186.642591
179	6175.369274
180	6165.863903
181	6156.933024
182	6146.917597
183	6137.373454
184	6127.974477
185	6118.56238
186	6109.222721
187	6099.497628
188	6090.023356
189	6080.820371
190	6072.906683
191	6064.917191
192	6057.301055
193	6048.897816
194	6040.630929
195	6031.011048
196	6021.20236
197	6012.310867
198	6003.121275
199	5994.813742
200	5986.766823
201	5975.943796
202	5966.314904
203	5957.411291
204	5949.452951
205	5942.108383
206	5933.268886
207	5924.192727
208	5914.509179
209	5905.105204
210	5898.096924
211	5890.911485
212	5882.94054
213	5874.2926
214	5867.360068
215	5860.382522
216	5852.263423
217	5844.232152
218	5837.242428
219	5830.14861
220	5822.970248
221	5816.509079
222	5809.273182
223	5800.716101
224	5792.957023
225	5785.87231
226	5777.708878
227	5770.843217
