iter	Passed	Remaining
0	2	720
1	5	646
2	7	617
3	10	623
4	12	638
5	15	627
6	17	613
7	19	604
8	21	588
9	24	589
10	26	582
11	28	581
12	31	573
13	33	569
14	35	568
15	38	569
16	40	562
17	42	556
18	44	553
19	47	547
20	49	546
21	51	541
22	53	536
23	56	534
24	58	532
25	60	528
26	63	531
27	65	529
28	68	525
29	70	523
30	72	521
31	75	522
32	78	520
33	80	517
34	82	514
35	85	515
36	88	514
37	90	512
38	93	511
39	95	510
40	98	507
41	100	507
42	104	509
43	107	508
44	109	507
45	112	505
46	114	502
47	117	501
48	119	498
49	122	495
50	124	492
51	126	490
52	129	488
53	131	485
54	133	481
55	136	480
56	138	476
57	140	473
58	143	471
59	145	468
60	148	466
61	150	463
62	152	460
63	155	458
64	157	455
65	159	452
66	162	451
67	165	450
68	167	447
69	170	444
70	172	442
71	175	440
72	177	438
73	180	436
74	182	433
75	184	430
76	187	428
77	189	425
78	192	423
79	194	420
80	197	419
81	199	416
82	202	414
83	204	411
84	207	410
85	209	407
86	212	404
87	214	402
88	217	399
89	219	397
90	222	395
91	224	392
92	226	390
93	229	388
94	232	386
95	234	384
96	237	381
97	239	378
98	241	376
99	244	373
100	246	370
101	248	367
102	250	365
103	253	362
104	255	359
105	257	357
106	260	355
107	262	352
108	265	350
109	267	348
110	270	346
111	273	343
112	275	341
113	278	338
114	280	336
115	282	334
116	285	331
117	287	329
118	290	326
119	292	324
120	294	321
121	297	319
122	300	317
123	303	315
124	305	312
125	308	310
126	310	308
127	313	305
128	315	303
129	318	300
130	320	298
131	323	296
132	325	293
133	328	291
134	330	289
135	333	286
136	336	284
137	338	281
138	340	279
139	343	277
140	345	274
141	348	272
142	350	269
143	353	267
144	355	265
145	358	262
146	360	260
147	362	257
148	365	254
149	368	253
150	371	250
151	373	248
152	376	245
153	378	243
154	380	240
155	382	238
156	385	235
157	388	233
158	390	230
159	393	228
160	395	226
161	398	223
162	401	221
163	403	218
164	405	216
165	408	214
166	410	211
167	413	209
168	416	206
169	419	204
170	421	202
171	424	199
172	426	197
173	428	194
174	431	192
175	433	189
176	436	187
177	438	184
178	440	182
179	443	179
180	445	177
181	447	174
182	450	172
183	452	169
184	455	167
185	457	164
186	459	162
187	461	159
188	464	157
189	466	154
190	469	152
191	471	149
192	474	147
193	476	145
194	479	142
195	481	140
196	484	137
197	486	135
198	489	132
199	491	130
200	494	127
201	496	125
202	499	123
203	502	120
204	507	118
205	511	116
206	513	114
207	516	111
208	518	109
209	521	106
210	523	104
211	526	101
212	529	99
213	531	96
214	534	94
215	536	91
216	538	89
217	541	86
218	543	84
219	546	81
220	548	79
221	551	76
222	554	74
223	556	72
224	558	69
225	561	67
226	564	64
227	566	62
228	569	59
229	571	57
230	573	54
231	576	52
232	578	49
233	580	47
234	583	44
235	585	42
236	588	39
237	590	37
238	593	34
239	596	32
240	599	29
241	601	27
242	603	24
243	606	22
244	608	19
245	611	17
246	613	14
247	616	12
248	619	9
249	621	7
250	623	4
251	625	2
252	628	0
