id,attendance,catboost_prediction,fold
9190,20916,26461.955744696774,2.0
9191,14277,13190.668257669773,5.0
9192,22531,27470.602720822382,4.0
9193,28564,20914.261917210577,2.0
9194,17199,17088.904205938994,2.0
9195,13085,24127.852859778555,2.0
9196,17444,18633.253495392226,2.0
9197,17564,15505.214280462273,4.0
9198,23607,25118.60128763719,5.0
9205,12040,14242.39647085653,5.0
9204,7921,11240.671076581639,2.0
9203,22454,22713.43076669398,5.0
9200,11896,13415.895504654427,5.0
9201,40266,37245.22341707504,4.0
9199,56512,43783.729121609314,1.0
9202,13054,18430.430920085597,1.0
9206,17043,19115.239262036037,3.0
9207,30561,31143.30679538256,2.0
9213,22651,19625.38080744503,3.0
9216,8388,11262.533101702284,1.0
9214,8567,9843.980831791436,3.0
9212,9082,10960.236367788777,4.0
9215,19307,18882.90364293893,1.0
9210,16742,16038.84394485923,3.0
9209,10560,6701.038151014238,2.0
9208,19011,22041.785669346915,1.0
9211,9368,16674.244127833994,3.0
9217,14815,10343.36988588844,2.0
9218,8585,11517.528271220028,3.0
9219,43815,38933.16512938986,1.0
9220,37585,31543.77946642809,3.0
9221,12114,13440.659404373455,4.0
9222,17341,17405.166223663564,3.0
9223,14191,15038.155919934621,1.0
9224,5556,6945.126462971006,1.0
9232,16546,14279.250571950728,2.0
9231,8604,9993.677650635727,5.0
9230,50572,33499.442750592505,3.0
9229,13067,13228.486317260458,3.0
9226,7354,7681.538302372626,5.0
9227,11835,10434.691069657885,3.0
9228,9442,10030.681030254202,3.0
9233,11878,10796.318059576763,3.0
9234,17033,22413.77567979312,4.0
9225,9019,9323.184288273567,1.0
9235,20977,27237.04359711593,3.0
9236,6282,11473.803812618793,2.0
9237,10661,15296.717593699157,5.0
9242,17406,16379.931108345945,4.0
9243,44625,44661.166246727174,2.0
9241,34071,29616.2704847934,5.0
9240,10316,12720.274860149108,2.0
9239,11747,14334.901097659415,1.0
9238,3670,7558.736692357201,5.0
9244,14599,10275.758207687959,3.0
9245,8370,9636.337557883864,1.0
9246,8770,10718.351718551876,1.0
9247,15311,15586.560719048975,5.0
9248,7418,11821.400577100583,1.0
9249,24214,27909.55337576242,3.0
9250,17967,16261.290161740913,2.0
9251,10039,12758.413986538075,5.0
9252,21545,17786.196085033556,4.0
9259,28885,31803.71701142555,4.0
9258,21190,22608.61254371125,5.0
9257,39322,34894.931307998515,3.0
9253,12361,15597.351609993078,2.0
9255,10421,11463.144588996693,1.0
9254,40657,41871.04056511096,5.0
9256,15138,13915.929253522572,2.0
9260,11149,14035.464112267822,1.0
9261,11788,10381.44528032713,3.0
9267,6794,7325.328655089186,4.0
9268,23406,32518.233519234145,5.0
9265,15184,13397.64572028058,5.0
9266,12295,12693.540513711334,5.0
