id,attendance,catboost_prediction,fold
9190,20916,26438.709783651313,1.0
9191,14277,11809.476521585006,5.0
9192,22531,27628.362811707462,3.0
9193,28564,22493.355364660943,4.0
9194,17199,14466.532650809278,5.0
9195,13085,19078.564539481362,4.0
9196,17444,16915.948942900337,3.0
9197,17564,15097.116266993151,2.0
9198,23607,29618.566088339954,3.0
9199,56512,45404.35358781488,4.0
9200,11896,13305.91471657601,4.0
9201,40266,39249.69153621391,5.0
9202,13054,16650.363464906295,2.0
9203,22454,22555.8896680821,3.0
9204,7921,13416.12498003057,1.0
9205,12040,12895.987590854,3.0
9206,17043,21621.01265490982,5.0
9207,30561,23342.184027981526,1.0
9208,19011,24116.27063441758,2.0
9209,10560,8662.190276365138,5.0
9210,16742,16670.957189645753,3.0
9211,9368,14688.556230003529,5.0
9212,9082,10789.861045586971,2.0
9213,22651,20825.32541302149,3.0
9214,8567,11640.842323391164,4.0
9215,19307,14494.761703331264,1.0
9216,8388,12060.872196286793,1.0
9217,14815,11992.885144053267,4.0
9218,8585,11350.6824918685,4.0
9219,43815,44431.2545291939,2.0
9220,37585,29642.359123574548,1.0
9221,12114,11059.794596425036,1.0
9222,17341,17906.770359956114,1.0
9223,14191,12820.61971241979,1.0
9224,5556,8856.804944379151,5.0
9225,9019,10724.944175939612,5.0
9226,7354,8854.816967033872,5.0
9227,11835,10374.619733313422,3.0
9228,9442,10264.120452536112,5.0
9229,13067,13146.99441617525,3.0
9230,50572,31477.77648211063,4.0
9231,8604,9025.25338510703,2.0
9232,16546,14040.385300321173,4.0
9233,11878,11369.911803948615,2.0
9234,17033,23472.092059149723,1.0
9235,20977,24174.625593656674,1.0
9236,6282,9043.530911208107,5.0
9237,10661,12301.404482387406,4.0
9238,3670,9039.926361223466,1.0
9239,11747,14648.585844342648,2.0
9240,10316,11327.328605074872,5.0
9241,34071,33405.318732010484,1.0
9242,17406,17145.769935669054,1.0
9243,44625,44226.50750595378,3.0
9244,14599,7184.614699150177,4.0
9245,8370,7287.829213570743,4.0
9246,8770,12011.589776342236,2.0
9247,15311,17707.706156460586,2.0
9248,7418,11717.7359176718,1.0
9249,24214,30107.07940646434,2.0
9250,17967,15447.95272961912,4.0
9251,10039,12879.088100581477,3.0
9252,21545,18330.204329215285,4.0
9253,12361,14101.826459956605,1.0
9254,40657,42955.969355524474,5.0
9255,10421,13730.286449679155,3.0
9256,15138,12846.421501737157,4.0
9257,39322,34208.15372950836,1.0
9258,21190,22867.19669148523,4.0
9259,28885,29335.624537137228,2.0
9260,11149,13391.192555826372,1.0
9261,11788,12400.519782394505,3.0
9262,11810,12646.705460824945,2.0
9263,15103,16672.806437011186,1.0
9264,6162,7600.56318017973,4.0
9265,15184,12029.182029530864,5.0
9266,12295,13609.751331960506,1.0
9267,6794,9393.052428129404,4.0
9268,23406,29799.52434874451,3.0
9269,14615,12201.27038333451,4.0
9270,8667,12879.032107997762,1.0
9271,13450,16993.015513816612,4.0
9272,54774,43129.607554278155,4.0
9273,13300,15527.672195729137,3.0
9274,20232,28101.043623909973,2.0
9275,20268,17741.458108848994,3.0
9276,20543,18376.668678461727,3.0
9277,22188,31387.97516771574,2.0
9278,14642,12891.217131931626,1.0
9279,41430,39475.72606052075,5.0
9280,15427,12744.81136444238,5.0
9281,22948,17108.637236722418,3.0
9282,18241,15457.316474403915,4.0
9283,11221,12938.333743211402,1.0
9284,11101,14972.529972648092,4.0
9285,9031,12271.796727296962,5.0
9286,17438,21739.358324159315,2.0
9287,25687,24234.82902074846,4.0
9288,15343,11841.807496433374,5.0
9289,25128,27107.033817669668,3.0
9290,32073,25257.666447343625,2.0
9291,36376,21726.90321118948,4.0
9292,21874,17596.37111426674,1.0
9293,12466,7835.851844641422,5.0
9294,42056,36908.84032002154,2.0
9295,18193,15001.637517036263,3.0
9296,56982,48159.27809785267,4.0
9297,9430,15245.783513215501,4.0
9298,7427,10252.481519521902,2.0
9299,5806,6378.612698466897,1.0
9300,15322,12852.671326179905,4.0
9301,8025,8615.384716227753,2.0
9302,38592,37195.18075034315,4.0
9303,10183,12217.467775397032,3.0
9304,6760,9964.159310153356,5.0
9305,6806,11965.377967522214,3.0
9306,12142,7207.233415030396,5.0
9307,17070,21067.01007303845,4.0
9308,13432,12293.109596166585,3.0
9309,7493,8865.991656766391,5.0
9310,23005,25149.872620409842,1.0
9311,13524,12501.991372342925,3.0
9312,17864,14662.547325172574,5.0
9313,19304,18438.442983067434,2.0
9314,19223,20523.474666264163,1.0
9315,9005,10679.090775133682,4.0
9316,16040,18592.221296627104,4.0
9317,20425,16314.133769101165,5.0
9318,39278,34519.97641279103,3.0
9319,12875,11567.737365457397,4.0
9320,6618,9028.381133395274,5.0
9321,13225,9019.294837525678,4.0
9322,8027,17670.213856582428,3.0
9323,5545,6573.877362052719,4.0
9324,13655,10013.05466755123,1.0
9325,7278,6966.870869083716,2.0
9326,31684,25294.85850781975,4.0
9327,17000,16717.542160839483,4.0
9328,14289,15940.942271048942,4.0
9329,24920,19475.420641697547,1.0
9330,14621,15795.856958994467,2.0
9331,20873,20006.718023542908,1.0
9332,16961,15301.06338756398,3.0
9333,24032,24171.67375605701,5.0
9334,10569,13836.723269671445,1.0
9335,50195,48506.024259770915,3.0
9336,20144,17952.06423612711,5.0
9337,41487,35674.65007036802,4.0
9338,30353,23067.056524373857,4.0
9339,12454,10626.1196516744,1.0
9340,16089,14398.541369728386,3.0
9341,12616,19697.21584888328,3.0
9342,18205,12011.86676926529,1.0
9343,34236,25877.817946476003,5.0
9344,11355,11513.369951190136,5.0
9345,38611,41694.76947058769,3.0
9346,15410,14962.482346349276,3.0
9347,14392,13194.468472969775,1.0
9348,18609,24870.118079080108,3.0
9349,10387,13613.766505588432,3.0
9350,10145,10454.19186528212,5.0
9351,17261,13857.285490556651,5.0
9352,34417,38171.204180697896,1.0
9353,18533,19425.764906181023,2.0
9354,11306,15586.026016491498,4.0
9355,11623,10547.85604496934,4.0
9356,12115,11829.739272217601,1.0
9357,11992,10194.367479892502,4.0
9358,11291,9207.537142052013,2.0
9359,17826,14963.398797221624,3.0
9360,18864,14471.675200632868,1.0
9361,9076,12100.232300386462,4.0
9362,14052,16848.946164696994,5.0
9363,14227,9569.850658997197,1.0
9364,40466,36921.194518118944,1.0
9365,16177,13905.21273958698,1.0
9366,23386,26048.356780191833,1.0
9367,17738,12130.581021721177,1.0
9368,17556,14222.818764178166,1.0
9369,8886,14138.463864410143,1.0
9370,11433,11862.282025800982,5.0
9371,9457,14579.372743182263,4.0
9372,4873,8299.464921959616,4.0
9373,21041,22539.49526976303,1.0
9374,12384,8177.589676440572,1.0
9375,9249,12056.58494671758,3.0
9376,13979,12263.131060163465,5.0
9377,9513,9854.516584153504,4.0
9378,27843,21909.442587377976,1.0
9379,22769,32147.578141502563,5.0
9380,9299,12947.539072246396,5.0
9381,21382,23321.766972109323,3.0
9382,13463,12961.919943565606,1.0
9383,11471,9920.515179267386,4.0
9384,20463,17616.44508131298,1.0
9385,26841,15658.936608391408,1.0
9386,9142,16500.548721747135,1.0
9387,35059,27327.81283955883,5.0
9388,8440,11284.760224402842,3.0
9389,25384,21893.49320013295,2.0
9390,20800,25247.20339238707,5.0
9391,39123,45784.81312952419,5.0
9392,9308,12504.506763152669,5.0
9393,19036,15792.22310305607,1.0
9394,12519,14381.45813123443,4.0
9395,15482,16463.11058974757,3.0
9396,10150,9706.861465145057,5.0
9397,48378,46580.21935668593,3.0
9398,21665,24367.600616344032,2.0
9399,12654,12366.33206807252,3.0
9400,11218,11403.75494151198,2.0
9401,10265,11991.23402135804,1.0
9402,10857,14277.340524889336,2.0
9403,17544,17518.057736736802,3.0
9404,17398,17244.798528764826,1.0
9405,40422,35371.198892485976,4.0
9406,24136,24347.761569422742,5.0
9407,12029,15367.465311707949,3.0
9408,25435,22539.685134324165,1.0
9409,16492,16254.198536649425,2.0
9410,10609,11766.338190432336,2.0
9411,8223,8727.308477111286,2.0
9412,15186,22650.29274921759,3.0
9413,15462,10520.126366137947,4.0
9414,10807,11691.061944995785,4.0
9415,5237,7560.387239289206,5.0
9416,48952,48426.719579067896,2.0
9417,10282,14590.903476845795,2.0
9418,10222,9630.349495871644,4.0
9419,35603,36507.897271565584,1.0
9420,21066,22408.627429653003,3.0
9421,10840,11479.04220777077,2.0
9422,7013,10636.916543995283,4.0
9423,12181,13396.957944881113,2.0
9424,15315,16454.71651712347,5.0
9425,14383,12911.928110377674,4.0
9426,36272,32052.75492916398,4.0
9427,11490,10959.235236074786,2.0
9428,9888,11096.870528015785,1.0
9429,16281,17286.303188000293,1.0
9430,12843,17565.482516581553,1.0
9431,17541,23542.5235649349,5.0
9432,11689,10494.04462685231,4.0
9433,50134,51134.648327224364,2.0
9434,12863,12116.101052998238,3.0
9435,24333,29081.48043743839,5.0
9436,9747,10882.175841588385,1.0
9437,13244,12429.24870884434,1.0
9438,8491,8552.631823582233,4.0
9439,16445,9675.637088682972,4.0
9440,36161,34265.336964698596,3.0
9441,7897,11641.764029259808,1.0
9442,10074,9525.01589922799,2.0
9443,10505,16614.905187953926,5.0
9444,9852,10448.339008421299,1.0
9445,38203,33401.48533402993,4.0
9446,16162,16443.001229789657,1.0
9447,18534,18348.51645572554,1.0
9448,16162,13823.663076221314,3.0
9449,19170,17223.468249169346,1.0
9450,28690,20235.33733938158,4.0
9451,14663,19149.039143482078,2.0
9452,52582,48819.4216568891,5.0
9453,11286,8964.069073941337,1.0
9454,23251,26966.33758917423,5.0
9455,9079,10307.753711759766,3.0
9456,5566,8731.644694494606,1.0
9457,7873,9484.890003627861,4.0
9458,11505,9779.598194699223,5.0
9459,19273,16754.944944514413,3.0
9460,12094,23181.556467107894,1.0
9461,12871,13968.022837482737,3.0
9462,20258,24371.85643605294,2.0
9463,9156,8407.045179082987,3.0
9464,14406,11791.079906923198,1.0
9465,32109,34658.73855518164,3.0
9466,8182,11016.730171190957,2.0
9467,40393,33967.8272473393,3.0
9468,16950,14542.053609578417,1.0
9469,12178,15677.74200920089,1.0
9470,57781,42276.552079442205,4.0
9471,12049,12930.400253927683,3.0
9472,23553,31484.31959084545,2.0
9473,12172,14590.284725813115,2.0
9474,13785,11036.343412874397,5.0
9475,8737,12265.047983640938,4.0
9476,20187,11927.7781809535,3.0
9477,15841,17078.43577499576,3.0
9478,9285,27277.35806521905,1.0
9479,41528,41433.675924814226,1.0
9480,17518,19460.24760064416,2.0
9481,24895,27714.26657351241,1.0
9482,15069,10981.590185343193,3.0
9483,37711,26823.29059086122,5.0
9484,10707,15270.772886024832,3.0
9485,16768,18039.617633923925,1.0
9486,11214,12338.829144273403,1.0
9487,16433,20033.856699084674,2.0
9488,62241,63304.15689876918,1.0
9489,17175,14925.259035790752,1.0
9490,33993,36662.56343944426,3.0
9491,13581,16455.949323330682,5.0
9492,9110,12771.664908567642,4.0
9493,9278,12473.144060151297,2.0
9494,14703,11674.107049804463,3.0
9495,20854,19581.9196321517,3.0
9985,25257,27403.219081308802,3.0
9986,24466,26735.036984084196,3.0
9987,20039,19828.700309464297,3.0
9988,20295,22364.991222058994,1.0
9989,18333,16628.35720103383,3.0
9990,57188,50718.446727324335,3.0
9991,18355,15424.50305728057,4.0
9992,10960,14992.1053923435,2.0
9993,18410,16076.34970610909,1.0
9994,11791,12045.33684079556,1.0
9995,12891,13873.449803979302,3.0
9996,11452,11567.870441015932,5.0
9997,17023,20449.51610026064,2.0
9998,15373,13745.516662611433,4.0
9999,13737,10362.247388291906,4.0
10000,18406,27286.78686593609,1.0
10001,40524,43657.0082660215,1.0
