id,attendance,catboost_prediction,fold
9190,20916,25392.407413670793,3.0
9191,14277,14649.221173950184,4.0
9192,22531,28796.782010939198,4.0
9193,28564,23475.03387048065,3.0
9194,17199,14937.039387468465,3.0
9195,13085,24751.8106897201,4.0
9196,17444,15315.716050076606,3.0
9197,17564,16297.185748983005,5.0
9198,23607,24926.17404084996,1.0
9205,12040,14453.831318163964,1.0
9204,7921,10998.441665770843,2.0
9203,22454,22413.048111152526,1.0
9200,11896,13305.317554177898,5.0
9201,40266,39881.394039696665,4.0
9199,56512,45506.43869182568,2.0
9202,13054,18313.188019008074,2.0
9206,17043,18706.18503390602,5.0
9207,30561,28036.065165258387,1.0
9213,22651,19843.74769055201,1.0
9216,8388,10142.907770228954,1.0
9214,8567,12295.30181402099,5.0
9212,9082,11553.843064325105,1.0
9215,19307,19265.02995071585,2.0
9210,16742,14928.572703264801,5.0
9209,10560,7929.827858044582,1.0
9208,19011,22515.113905236456,1.0
9211,9368,16848.094887057974,4.0
9217,14815,10830.92307695921,5.0
9218,8585,11120.130194596026,3.0
9219,43815,42719.59334125089,3.0
9220,37585,33769.45795611069,4.0
9221,12114,14202.75294936013,4.0
9222,17341,16618.150402822557,3.0
9223,14191,15312.652146640909,2.0
9224,5556,8454.14006044219,1.0
9232,16546,14231.23947754668,1.0
9231,8604,10825.752876242626,5.0
9230,50572,37508.3820711565,2.0
9229,13067,13923.060482027546,3.0
9226,7354,6873.869674003454,1.0
9227,11835,11239.931122575777,5.0
9228,9442,11181.152925797507,4.0
9233,11878,10273.776254523478,5.0
9234,17033,23182.296066420415,1.0
9225,9019,8628.382369281575,5.0
9235,20977,28019.416347878763,4.0
9236,6282,10874.211629955138,5.0
9237,10661,15407.47193350695,3.0
9242,17406,18034.72588371819,2.0
9243,44625,43243.85344088118,4.0
9241,34071,30254.814425872166,4.0
9240,10316,13484.842855580944,5.0
9239,11747,14717.81547596028,2.0
9238,3670,8124.156023894908,5.0
9244,14599,10703.97733501774,5.0
9245,8370,9120.277769907121,1.0
9246,8770,9623.79407699644,2.0
9247,15311,15157.622567196915,4.0
9248,7418,11377.463886248928,3.0
9249,24214,30748.315136478348,1.0
9250,17967,15087.545148759407,2.0
9251,10039,13195.053539856282,1.0
9252,21545,17236.60499715022,4.0
9259,28885,29208.71687899787,5.0
9258,21190,25932.892150780204,1.0
9257,39322,34891.89939909866,3.0
9253,12361,14293.989775129616,4.0
9255,10421,10360.565295730257,4.0
9254,40657,38106.546170268964,3.0
9256,15138,14665.818014693165,1.0
9260,11149,13956.160755674593,4.0
9261,11788,11298.680986068031,1.0
9267,6794,7531.062669076915,4.0
9268,23406,29440.989951487318,5.0
9265,15184,12848.188741132757,3.0
9266,12295,12594.531552812725,2.0
9263,15103,16727.39134605023,1.0
9262,11810,12448.908093171038,3.0
9264,6162,6580.7582272281725,1.0
9269,14615,11469.244944708067,2.0
9270,8667,12418.528621790658,1.0
9277,22188,30186.20852312786,1.0
9271,13450,16226.672050329986,4.0
9272,54774,48261.89850191301,5.0
9273,13300,15815.369675646472,5.0
9274,20232,20520.747646236166,2.0
9275,20268,17430.280380591626,5.0
9276,20543,20109.890329184964,1.0
9279,41430,42236.2255264127,1.0
9278,14642,12610.823609698413,2.0
9280,15427,13065.263885014532,2.0
9281,22948,17193.21632954314,4.0
9282,18241,14221.055497396053,5.0
9283,11221,13438.370648237149,4.0
9284,11101,16707.213044640874,4.0
9285,9031,11040.120132897155,4.0
