id,attendance,lightgbm_prediction,fold
9190,20916,26266.4088424245,1.0
9191,14277,12207.929095671987,5.0
9192,22531,23775.87206752231,3.0
9193,28564,24003.93168441282,4.0
9194,17199,16253.798699151237,5.0
9195,13085,29922.015233838072,4.0
9196,17444,18888.587449974802,3.0
9197,17564,18086.060132473893,2.0
9198,23607,25309.964343384643,3.0
9199,56512,38973.1796535604,4.0
9200,11896,11082.546764328978,4.0
9201,40266,31894.399489380856,5.0
9202,13054,16965.35810218041,2.0
9203,22454,23061.91713937975,3.0
9204,7921,11131.406256798386,1.0
9205,12040,12293.779202224796,3.0
9206,17043,18456.01429567967,5.0
9207,30561,25260.766160888386,1.0
9208,19011,21251.849179353463,2.0
9209,10560,6806.132279053338,5.0
9210,16742,15554.740972061425,3.0
9211,9368,17040.23359409989,5.0
9212,9082,10636.019813662537,2.0
9213,22651,20408.012476206135,3.0
9214,8567,11589.335068619088,4.0
9215,19307,17731.779579772967,1.0
9216,8388,10964.980501567294,1.0
9217,14815,12491.825361642912,4.0
9218,8585,10895.966726901559,4.0
9219,43815,42688.88352860576,2.0
9220,37585,28239.600737671786,1.0
9221,12114,12485.336185670194,1.0
9222,17341,17001.003419920824,1.0
9223,14191,13947.346174681508,1.0
9224,5556,9342.82552641346,5.0
9225,9019,12016.05210394813,5.0
9226,7354,8441.125382869399,5.0
9227,11835,11438.048571078332,3.0
9228,9442,14813.294040369647,5.0
9229,13067,15722.789890163556,3.0
9230,50572,23555.24517866624,4.0
9231,8604,9443.593968372606,2.0
9232,16546,14652.409462660722,4.0
9233,11878,9773.004855325387,2.0
9234,17033,23804.636490262954,1.0
9235,20977,24902.539707766453,1.0
9236,6282,17003.963268816296,5.0
9237,10661,15300.551723041275,4.0
9238,3670,7856.730064316329,1.0
9239,11747,16935.353545915998,2.0
9240,10316,14333.900320412908,5.0
9241,34071,31036.037357405865,1.0
9242,17406,14949.389182230545,1.0
9243,44625,40458.89172063213,3.0
9244,14599,10580.731456180654,4.0
9245,8370,9680.556681003458,4.0
9246,8770,11387.511069118593,2.0
9247,15311,14561.796068371805,2.0
9248,7418,14638.905367451018,1.0
9249,24214,20793.782039466078,2.0
9250,17967,16978.392707447736,4.0
9251,10039,11596.56175400649,3.0
9252,21545,14957.51641785121,4.0
9253,12361,16235.630299395281,1.0
9254,40657,39422.95267175409,5.0
9255,10421,17931.563055658742,3.0
9256,15138,14852.371759698046,4.0
9257,39322,32766.168997616565,1.0
9258,21190,26015.530373820897,4.0
9259,28885,28879.347253173142,2.0
9260,11149,15087.011449524873,1.0
9261,11788,11647.41204621249,3.0
9262,11810,12970.118077770334,2.0
9263,15103,16442.58871935078,1.0
9264,6162,7240.261461174086,4.0
9265,15184,12038.576848171686,5.0
9266,12295,14315.824095794818,1.0
9267,6794,12766.193079155328,4.0
9268,23406,28648.168229892053,3.0
9269,14615,12178.353776840202,4.0
9270,8667,11268.981959990992,1.0
9271,13450,17572.40642785273,4.0
9272,54774,37389.002714281305,4.0
9273,13300,18115.315784321043,3.0
9274,20232,23245.108209696624,2.0
9275,20268,23207.231151304095,3.0
9276,20543,19081.943920466863,3.0
9277,22188,25110.86550148907,2.0
9278,14642,10422.723851847522,1.0
9279,41430,34147.61231996764,5.0
9280,15427,12851.879617317672,5.0
9281,22948,14922.06035920157,3.0
9282,18241,15563.486937961321,4.0
9283,11221,11234.283914636435,1.0
9284,11101,14491.126365357894,4.0
9285,9031,9454.964017340886,5.0
9286,17438,25704.539827252232,2.0
9287,25687,23691.913660338407,4.0
9288,15343,11195.0784060275,5.0
9289,25128,23657.22546936475,3.0
9290,32073,24430.476540901545,2.0
9291,36376,22696.696081259895,4.0
9292,21874,15713.33101630562,1.0
9293,12466,11272.428250274457,5.0
9294,42056,35594.20341789783,2.0
9295,18193,13764.77864756357,3.0
9296,56982,38815.171979287596,4.0
9297,9430,19676.728954603972,4.0
9298,7427,13234.70793505216,2.0
9299,5806,6810.93866938121,1.0
9300,15322,12189.136506448433,4.0
9301,8025,7290.987792371516,2.0
9302,38592,31118.21179315169,4.0
9303,10183,13934.995311451472,3.0
9304,6760,9215.744457840912,5.0
9305,6806,13775.903992734948,3.0
9306,12142,7408.532253275921,5.0
9307,17070,21600.247408591113,4.0
9308,13432,13758.43436545413,3.0
9309,7493,7690.133369952355,5.0
9310,23005,24770.16927307613,1.0
9311,13524,12658.358178264793,3.0
9312,17864,15042.404928111087,5.0
9313,19304,14585.275704564496,2.0
9314,19223,22433.90663273982,1.0
9315,9005,10878.388833287627,4.0
9316,16040,17926.86525292176,4.0
9317,20425,16475.880727816886,5.0
9318,39278,33077.638211714155,3.0
9319,12875,10591.277751306347,4.0
9320,6618,9646.403755450225,5.0
9321,13225,9161.517321171583,4.0
9322,8027,16961.74829638219,3.0
9323,5545,8134.762052254268,4.0
9324,13655,9107.327518951079,1.0
9325,7278,10241.767189468084,2.0
9326,31684,22665.620383113983,4.0
9327,17000,17016.073428640088,4.0
9328,14289,17690.910583210043,4.0
9329,24920,19728.859705912728,1.0
9330,14621,16478.19809733977,2.0
9331,20873,19310.548980632662,1.0
9332,16961,14722.493740968139,3.0
9333,24032,26067.429470064748,5.0
9334,10569,13743.25875748738,1.0
9335,50195,43542.198545975654,3.0
9336,20144,19417.11203024126,5.0
9337,41487,30365.544934355836,4.0
9338,30353,23013.177078406137,4.0
9339,12454,10657.683686513694,1.0
9340,16089,14732.050151877058,3.0
9341,12616,22835.936555511562,3.0
9342,18205,11853.1624878146,1.0
9343,34236,23302.27652644745,5.0
9344,11355,11960.881766965853,5.0
9345,38611,33141.26266563144,3.0
9346,15410,13428.439160917354,3.0
9347,14392,11954.278338560101,1.0
9348,18609,24020.279846612688,3.0
9349,10387,11785.035761836703,3.0
9350,10145,12595.764286912341,5.0
9351,17261,13433.282750303895,5.0
9352,34417,38126.84619708078,1.0
9353,18533,27320.214769365186,2.0
9354,11306,16023.604007665668,4.0
9355,11623,8649.379355355088,4.0
9356,12115,11955.134554812788,1.0
9357,11992,10116.09040900223,4.0
9358,11291,9934.426210227946,2.0
9359,17826,14320.423665074904,3.0
9360,18864,12193.102074568182,1.0
9361,9076,11864.254695187716,4.0
9362,14052,16837.35973701879,5.0
9363,14227,8697.268917991745,1.0
9364,40466,36611.65090156078,1.0
