id,attendance,lightgbm_prediction,fold
9190,20916,26169.54899965408,3.0
9191,14277,15889.66218649829,4.0
9192,22531,26584.122062558683,4.0
9193,28564,25751.836923980067,3.0
9194,17199,14762.888273849145,3.0
9195,13085,37481.36655032528,4.0
9196,17444,14759.201299043836,3.0
9197,17564,15332.03509212762,5.0
9198,23607,22976.725325460913,1.0
9205,12040,15049.641670232995,1.0
9204,7921,8762.070263254813,2.0
9203,22454,23066.19046853723,1.0
9200,11896,11404.932219618728,5.0
9201,40266,32006.66844180956,4.0
9199,56512,42191.6677200306,2.0
9202,13054,19615.45570070462,2.0
9206,17043,15426.098907130558,5.0
9207,30561,27354.19047266678,1.0
9213,22651,19265.888648306507,1.0
9216,8388,11783.33359954327,1.0
9214,8567,12438.786862533605,5.0
9212,9082,11325.725490836932,1.0
9215,19307,21447.793276439053,2.0
9210,16742,14142.944476870178,5.0
9209,10560,6655.114404701465,1.0
9208,19011,21646.069296710728,1.0
9211,9368,18838.032646582193,4.0
9217,14815,11077.970314685967,5.0
9218,8585,10856.279725110508,3.0
9219,43815,40504.48365885799,3.0
9220,37585,29764.157489428722,4.0
9221,12114,14605.540943436696,4.0
9222,17341,17217.163403818737,3.0
9223,14191,14242.652062075522,2.0
9224,5556,9782.673242610614,1.0
9232,16546,14955.842812814737,1.0
9231,8604,11419.602385992774,5.0
9230,50572,34418.51873028351,2.0
9229,13067,16557.389070550737,3.0
9226,7354,8063.463239656745,1.0
9227,11835,11452.514886352075,5.0
9228,9442,14785.90182910236,4.0
9233,11878,10846.909688723037,5.0
9234,17033,22442.32861231943,1.0
9225,9019,8040.193962254356,5.0
9235,20977,30559.970986396307,4.0
9236,6282,15913.234011501296,5.0
9237,10661,15928.51151614309,3.0
9242,17406,16252.907050127173,2.0
9243,44625,41871.120830091735,4.0
9241,34071,27836.567225402112,4.0
9240,10316,12238.98636041827,5.0
9239,11747,16615.26431912299,2.0
9238,3670,7051.053741477525,5.0
9244,14599,11954.370355264155,5.0
9245,8370,12383.573900938714,1.0
9246,8770,10577.98224977809,2.0
9247,15311,15325.006417806515,4.0
9248,7418,11930.083718853377,3.0
9249,24214,24226.000504660587,1.0
9250,17967,15697.928501389939,2.0
9251,10039,12068.530703364186,1.0
9252,21545,17721.787355237193,4.0
9259,28885,29171.13815193803,5.0
9258,21190,27540.8531591222,1.0
9257,39322,32600.922404941397,3.0
9253,12361,14875.578138550605,4.0
9255,10421,14679.02974489315,4.0
9254,40657,37595.51972106814,3.0
9256,15138,15393.121233830334,1.0
9260,11149,15739.937052963829,4.0
9261,11788,11613.910920184764,1.0
9267,6794,8503.32525538568,4.0
9268,23406,32279.303479333972,5.0
9265,15184,13540.101563184846,3.0
9266,12295,13125.070545672485,2.0
9263,15103,16813.807934570403,1.0
9262,11810,11298.331507901567,3.0
9264,6162,6390.503182161617,1.0
9269,14615,12702.93408508159,2.0
9270,8667,11584.292795674472,1.0
9277,22188,24974.27607687673,1.0
9271,13450,15998.64127178685,4.0
9272,54774,42559.60788436957,5.0
9273,13300,17078.83986084523,5.0
9274,20232,23462.456606310014,2.0
9275,20268,20740.13090624765,5.0
9276,20543,18418.931378651134,1.0
9279,41430,36122.644384407315,1.0
9278,14642,9967.0562727335,2.0
9280,15427,13035.159577193888,2.0
9281,22948,16033.835629430589,4.0
9282,18241,14077.283720584433,5.0
9283,11221,12045.416175508237,4.0
9284,11101,14570.235969160647,4.0
9285,9031,7745.51824258455,4.0
9286,17438,25074.487800729505,2.0
9287,25687,21349.530787063526,4.0
9294,42056,32395.042175145856,2.0
9293,12466,9603.950417501352,5.0
9295,18193,14333.148034293872,2.0
9292,21874,15749.476557085738,2.0
9290,32073,26807.375924121126,1.0
9291,36376,23235.79229132092,1.0
9289,25128,24496.701745242484,4.0
9296,56982,42625.93312868948,1.0
9297,9430,20425.108620194645,5.0
9288,15343,14293.26789575227,3.0
9306,12142,7882.589583376746,5.0
9305,6806,10651.557201996373,1.0
9304,6760,9389.288579874898,4.0
9302,38592,34544.82056728437,1.0
9303,10183,14347.705333515401,3.0
9300,15322,13999.00705900483,4.0
9299,5806,6316.473453566347,2.0
9298,7427,16343.343107283907,4.0
9301,8025,7963.2230850015885,4.0
9312,17864,14702.298836648935,3.0
9307,17070,18609.136724808188,2.0
9308,13432,14468.253024704285,5.0
9309,7493,8307.00530805981,1.0
9310,23005,25766.31862038433,4.0
9311,13524,11934.347368990593,2.0
9313,19304,15261.97369857982,2.0
9315,9005,9318.784764902439,1.0
9314,19223,20816.074932069423,4.0
9324,13655,8063.240730732916,5.0
9322,8027,13966.214233295113,3.0
9321,13225,9777.986699471234,2.0
9320,6618,7833.893229696239,1.0
9323,5545,9863.31819088159,4.0
9318,39278,31881.837252501708,5.0
9317,20425,19516.058979099536,4.0
9316,16040,17317.136138008256,4.0
9319,12875,10851.12251837963,1.0
9330,14621,17314.72126347301,1.0
9325,7278,9943.657811012721,3.0
9326,31684,19268.051098393807,5.0
9327,17000,17489.451510067043,5.0
9328,14289,16946.574030871972,2.0
9329,24920,24726.36549598306,3.0
9331,20873,22602.93008499502,2.0
9332,16961,14246.280967564631,1.0
9333,24032,22861.162575691236,2.0
9341,12616,16143.108598249724,4.0
9339,12454,12120.575301828885,4.0
