id,attendance,lightgbm_prediction,fold
9190,20916,27243.254156874198,10.0
9191,14277,15758.031122935128,10.0
9192,22531,24757.460625646898,4.0
9193,28564,24215.80245979258,8.0
9194,17199,14087.984025050013,8.0
9195,13085,33711.010859628695,1.0
9196,17444,14516.939587319315,4.0
9197,17564,15899.391543171889,4.0
9198,23607,20763.07344974808,8.0
9205,12040,11917.50469108871,4.0
9204,7921,10507.702153141898,7.0
9203,22454,21343.029048716413,8.0
9200,11896,11404.787576451032,9.0
9201,40266,32145.443161811345,4.0
9199,56512,45552.815770476256,8.0
9202,13054,19852.759316317166,9.0
9206,17043,17374.7676266051,7.0
9207,30561,30013.523620486296,3.0
9213,22651,18438.303641700688,1.0
9216,8388,11389.258296695562,3.0
9214,8567,12397.15576434246,8.0
9212,9082,10383.350018982157,1.0
9215,19307,20385.061037800144,10.0
9210,16742,14680.861911149836,9.0
9209,10560,6815.133677775312,6.0
9208,19011,19518.570727271872,5.0
9211,9368,18159.25394007128,9.0
9217,14815,9836.764122781653,6.0
9218,8585,11972.205741828484,9.0
9219,43815,40820.1345541816,7.0
9220,37585,32562.807154662896,7.0
9221,12114,14277.400924177959,7.0
9222,17341,18175.263965681097,8.0
9223,14191,13371.699879328193,10.0
9224,5556,8861.56950287538,4.0
9232,16546,14759.447487498735,9.0
9231,8604,10615.084065449082,7.0
9230,50572,30501.56579425875,3.0
9229,13067,15779.938132741067,7.0
9226,7354,7003.530745850437,4.0
9227,11835,11914.941124502686,7.0
9228,9442,13671.769787736279,8.0
9233,11878,11855.407729814804,9.0
9234,17033,22453.517448494822,10.0
9225,9019,10198.209962618404,8.0
9235,20977,28486.302921146813,5.0
9236,6282,15285.202219914192,7.0
9237,10661,15162.933935450656,1.0
9242,17406,19001.40663559299,9.0
9243,44625,40598.35061517379,6.0
9241,34071,25951.60357162041,2.0
9240,10316,12629.616734232171,5.0
9239,11747,17584.17663410456,6.0
9238,3670,7905.363196663621,2.0
9244,14599,13886.411411244382,4.0
9245,8370,11552.990766244962,3.0
9246,8770,10222.195568910383,2.0
9247,15311,14259.271098013895,6.0
9248,7418,11521.18686090142,2.0
9249,24214,20994.868153075302,5.0
9250,17967,16469.422108897386,4.0
9251,10039,12106.669661903923,7.0
9252,21545,16208.728623654919,2.0
9259,28885,32094.002619368865,6.0
9258,21190,27063.66516243888,3.0
9257,39322,33035.836568808925,5.0
9253,12361,13867.848771485664,2.0
9255,10421,13771.31328093582,9.0
9254,40657,40372.585939248194,2.0
9256,15138,14844.390848672585,4.0
9260,11149,13830.279611530048,8.0
9261,11788,11460.41021193489,6.0
9267,6794,7099.361115270813,1.0
9268,23406,30129.40280692277,2.0
9265,15184,12537.47696074411,2.0
9266,12295,13400.269371621873,3.0
9263,15103,16598.937572605777,9.0
9262,11810,12080.493846080606,3.0
9264,6162,6858.091316670363,10.0
9269,14615,13146.789965451986,6.0
9270,8667,11698.253867869651,5.0
9277,22188,24055.644854408267,4.0
9271,13450,16428.59747296553,10.0
9272,54774,44468.033901004805,6.0
9273,13300,16567.419976025798,9.0
9274,20232,22937.39123708518,10.0
9275,20268,19573.122683253187,7.0
9276,20543,19429.299947785337,1.0
9279,41430,36504.99076582041,5.0
9278,14642,11319.259089088542,5.0
9280,15427,12765.760118383349,7.0
9281,22948,15906.707471557706,7.0
9282,18241,14355.945608188325,5.0
9283,11221,12191.721357196011,6.0
9284,11101,16511.41171543862,9.0
9285,9031,9416.05452538764,9.0
9286,17438,25549.99247626524,10.0
9287,25687,23758.90268180633,5.0
9294,42056,34235.00593647082,1.0
9293,12466,9817.77843729808,8.0
9295,18193,15480.696471179468,6.0
9292,21874,16662.63727170156,5.0
9290,32073,26942.898723114733,2.0
9291,36376,22206.60825779331,4.0
9289,25128,22256.23730722304,1.0
9296,56982,45075.52282921256,2.0
9297,9430,19763.108452113174,3.0
9288,15343,14089.308042126886,4.0
9306,12142,7751.19629489492,1.0
9305,6806,10323.665846619335,2.0
9304,6760,9577.074648289607,8.0
9302,38592,38966.896277169566,7.0
9303,10183,12911.494093069701,8.0
9300,15322,12595.393988428543,5.0
9299,5806,5777.658761560655,1.0
9298,7427,14778.055550482964,10.0
9301,8025,7648.5531711467065,8.0
9312,17864,16448.698259769462,2.0
9307,17070,20294.742643953785,6.0
9308,13432,13982.23473436473,6.0
9309,7493,7276.66337238412,7.0
9310,23005,27685.875967809556,2.0
9311,13524,11499.797573579319,4.0
9313,19304,15999.784083553694,7.0
9315,9005,9700.594153555714,3.0
9314,19223,20272.803399059205,1.0
9324,13655,8770.113722417269,6.0
9322,8027,12464.165750449407,8.0
9321,13225,10204.691218738359,7.0
9320,6618,7214.241303864606,1.0
9323,5545,7712.878299006268,3.0
9318,39278,30405.973488718937,3.0
9317,20425,19190.931506393757,5.0
9316,16040,19423.88384540583,10.0
9319,12875,11097.3270440415,2.0
9330,14621,15826.189837110991,5.0
9325,7278,8994.390995144535,10.0
9326,31684,19258.696558542593,5.0
9327,17000,17036.26760425446,8.0
9328,14289,13431.87315825628,1.0
9329,24920,27063.083660466815,3.0
9331,20873,22374.30714110418,3.0
9332,16961,14308.02340738439,6.0
9333,24032,24344.65114127687,3.0
9341,12616,14761.295122234324,10.0
9339,12454,11488.322693067537,4.0
9342,18205,13343.229062347695,8.0
9338,30353,22733.684328590363,5.0
9340,16089,14694.43282019621,4.0
9336,20144,21650.714672031234,9.0
9334,10569,12323.124889328708,1.0
9337,41487,32847.97859603254,3.0
9335,50195,42468.93749561644,1.0
9343,34236,25066.34558480764,10.0
9344,11355,12820.430410351688,3.0
9345,38611,31072.73887566218,3.0
9346,15410,14376.226002933514,1.0
9347,14392,13167.289777314918,10.0
9348,18609,15988.548074871678,6.0
9349,10387,11414.830427443663,6.0
9351,17261,14098.671936316581,5.0
9350,10145,12010.41445326968,8.0
9360,18864,19493.484376473745,9.0
9359,17826,13901.397990057294,4.0
9358,11291,10033.520158096766,2.0
9357,11992,10819.951259044981,7.0
9352,34417,37179.22041695291,5.0
9355,11623,7806.569440031342,9.0
9354,11306,14519.076107244999,8.0
9353,18533,19216.098390245155,8.0
9356,12115,11731.594307942616,5.0
9365,16177,15660.600463998424,3.0
9366,23386,25213.423909244997,9.0
9367,17738,13852.932731980452,9.0
9363,14227,11254.01491521246,8.0
9362,14052,14773.669017847726,1.0
9361,9076,10916.535645229944,5.0
9364,40466,31863.853000316783,10.0
9368,17556,15560.293270295788,8.0
9369,8886,12231.83370086648,10.0
9378,27843,25177.985690288016,1.0
9377,9513,10536.784076057294,7.0
9375,9249,10729.679142456645,1.0
