id,attendance,xgboost_prediction,fold
9190,20916,24444.568359375,1.0
9191,14277,12723.3359375,5.0
9192,22531,22703.279296875,3.0
9193,28564,25508.197265625,4.0
9194,17199,14373.310546875,5.0
9195,13085,29847.669921875,4.0
9196,17444,18743.205078125,3.0
9197,17564,18445.017578125,2.0
9198,23607,23903.662109375,3.0
9199,56512,40050.2421875,4.0
9200,11896,11922.30859375,4.0
9201,40266,31401.7578125,5.0
9202,13054,16445.8984375,2.0
9203,22454,24011.947265625,3.0
9204,7921,10505.76171875,1.0
9205,12040,11716.8232421875,3.0
9206,17043,18628.076171875,5.0
9207,30561,25594.79296875,1.0
9208,19011,19572.263671875,2.0
9209,10560,7144.5576171875,5.0
9210,16742,16307.3955078125,3.0
9211,9368,15456.6455078125,5.0
9212,9082,10822.5888671875,2.0
9213,22651,20512.58984375,3.0
9214,8567,11009.9443359375,4.0
9215,19307,18310.423828125,1.0
9216,8388,11344.8955078125,1.0
9217,14815,12616.3212890625,4.0
9218,8585,11325.1787109375,4.0
9219,43815,41608.421875,2.0
9220,37585,27311.11328125,1.0
9221,12114,12160.7509765625,1.0
9222,17341,18248.21875,1.0
9223,14191,14838.29296875,1.0
9224,5556,9447.85546875,5.0
9225,9019,11002.9189453125,5.0
9226,7354,8336.7607421875,5.0
9227,11835,11286.140625,3.0
9228,9442,14419.3076171875,5.0
9229,13067,14696.1669921875,3.0
9230,50572,23872.85546875,4.0
9231,8604,8950.548828125,2.0
9232,16546,14084.041015625,4.0
9233,11878,10236.5361328125,2.0
9234,17033,24901.544921875,1.0
9235,20977,25108.2265625,1.0
9236,6282,15351.9443359375,5.0
9237,10661,13773.6005859375,4.0
9238,3670,8385.658203125,1.0
9239,11747,15965.6923828125,2.0
9240,10316,13377.828125,5.0
9241,34071,32550.2265625,1.0
9242,17406,14697.31640625,1.0
9243,44625,44381.765625,3.0
9244,14599,10018.11328125,4.0
9245,8370,8266.8154296875,4.0
9246,8770,11057.30078125,2.0
9247,15311,14901.7490234375,2.0
9248,7418,14118.400390625,1.0
9249,24214,20432.3046875,2.0
9250,17967,15785.490234375,4.0
9251,10039,11327.25,3.0
9252,21545,13863.3515625,4.0
