id,attendance,xgboost_prediction,fold
9190,20916,27009.751953125,10.0
9191,14277,15069.5791015625,10.0
9192,22531,25000.26171875,4.0
9193,28564,25228.73046875,8.0
9194,17199,13892.251953125,8.0
9195,13085,34426.76171875,1.0
9196,17444,13813.0283203125,4.0
9197,17564,17371.666015625,4.0
9198,23607,22474.333984375,8.0
9205,12040,12136.6787109375,4.0
9204,7921,10292.86328125,7.0
9203,22454,21432.05859375,8.0
9200,11896,12138.466796875,9.0
9201,40266,33610.26171875,4.0
9199,56512,45391.4453125,8.0
9202,13054,21057.38671875,9.0
9206,17043,18231.060546875,7.0
9207,30561,29869.341796875,3.0
9213,22651,18178.921875,1.0
9216,8388,11267.7919921875,3.0
9214,8567,12065.9208984375,8.0
9212,9082,9449.4853515625,1.0
9215,19307,20817.9609375,10.0
9210,16742,14977.20703125,9.0
9209,10560,6283.06396484375,6.0
9208,19011,19090.44140625,5.0
9211,9368,18041.7109375,9.0
9217,14815,9333.5810546875,6.0
9218,8585,12806.828125,9.0
9219,43815,38263.24609375,7.0
9220,37585,32171.255859375,7.0
9221,12114,15402.333984375,7.0
9222,17341,17975.908203125,8.0
9223,14191,14834.404296875,10.0
9224,5556,8668.3359375,4.0
9232,16546,14490.06640625,9.0
9231,8604,10001.109375,7.0
9230,50572,31036.58984375,3.0
9229,13067,15427.529296875,7.0
9226,7354,6127.15234375,4.0
9227,11835,11699.5712890625,7.0
9228,9442,14663.498046875,8.0
9233,11878,12540.646484375,9.0
9234,17033,21926.037109375,10.0
9225,9019,9890.4306640625,8.0
9235,20977,28503.60546875,5.0
9236,6282,13628.783203125,7.0
9237,10661,15145.40234375,1.0
9242,17406,19177.021484375,9.0
9243,44625,42641.33984375,6.0
9241,34071,28439.53515625,2.0
9240,10316,13285.814453125,5.0
9239,11747,17575.94921875,6.0
9238,3670,6713.6279296875,2.0
9244,14599,12037.8935546875,4.0
9245,8370,10577.8857421875,3.0
9246,8770,10139.080078125,2.0
9247,15311,14272.5634765625,6.0
9248,7418,12517.0791015625,2.0
9249,24214,20702.73046875,5.0
9250,17967,17004.2890625,4.0
9251,10039,12062.240234375,7.0
9252,21545,16111.7001953125,2.0
9259,28885,32955.21875,6.0
9258,21190,27938.93359375,3.0
9257,39322,34294.625,5.0
9253,12361,13175.166015625,2.0
9255,10421,12885.4697265625,9.0
9254,40657,40984.421875,2.0
9256,15138,14256.58203125,4.0
9260,11149,14793.37109375,8.0
9261,11788,10987.943359375,6.0
9267,6794,7014.1943359375,1.0
9268,23406,29540.314453125,2.0
9265,15184,11181.80859375,2.0
9266,12295,13437.693359375,3.0
9263,15103,17288.244140625,9.0
9262,11810,11333.95703125,3.0
9264,6162,6604.62158203125,10.0
9269,14615,13349.9736328125,6.0
9270,8667,11876.248046875,5.0
9277,22188,24632.919921875,4.0
9271,13450,16981.291015625,10.0
9272,54774,43593.22265625,6.0
9273,13300,16832.330078125,9.0
9274,20232,23397.6015625,10.0
9275,20268,20475.765625,7.0
9276,20543,18444.654296875,1.0
9279,41430,37043.23046875,5.0
9278,14642,11301.9033203125,5.0
9280,15427,12756.6328125,7.0
9281,22948,15930.751953125,7.0
9282,18241,14326.181640625,5.0
9283,11221,11350.0537109375,6.0
9284,11101,16333.7705078125,9.0
9285,9031,9606.2353515625,9.0
9286,17438,23322.341796875,10.0
9287,25687,24527.654296875,5.0
9294,42056,35833.58984375,1.0
9293,12466,8885.939453125,8.0
9295,18193,16308.4541015625,6.0
9292,21874,17476.880859375,5.0
9290,32073,28354.279296875,2.0
9291,36376,24115.31640625,4.0
9289,25128,22790.5546875,1.0
9296,56982,43932.4765625,2.0
9297,9430,19748.5078125,3.0
9288,15343,12113.0498046875,4.0
9306,12142,7620.84423828125,1.0
9305,6806,10348.123046875,2.0
9304,6760,9364.0185546875,8.0
9302,38592,36186.7265625,7.0
9303,10183,13123.6298828125,8.0
9300,15322,13712.6015625,5.0
9299,5806,5435.36181640625,1.0
9298,7427,15475.76171875,10.0
9301,8025,8072.57275390625,8.0
9312,17864,17240.42578125,2.0
9307,17070,17197.271484375,6.0
9308,13432,12931.142578125,6.0
9309,7493,6632.205078125,7.0
9310,23005,27880.474609375,2.0
9311,13524,12332.36328125,4.0
9313,19304,16762.40234375,7.0
9315,9005,8592.974609375,3.0
9314,19223,20038.306640625,1.0
9324,13655,9485.3984375,6.0
9322,8027,12851.4453125,8.0
9321,13225,10783.4970703125,7.0
9320,6618,7058.7158203125,1.0
9323,5545,7611.76611328125,3.0
9318,39278,32466.0234375,3.0
9317,20425,19607.724609375,5.0
9316,16040,15795.6689453125,10.0
9319,12875,11135.275390625,2.0
9330,14621,16098.146484375,5.0
9325,7278,7957.98583984375,10.0
9326,31684,20925.234375,5.0
9327,17000,17908.201171875,8.0
9328,14289,13913.310546875,1.0
9329,24920,29513.125,3.0
9331,20873,22214.59765625,3.0
9332,16961,14182.0654296875,6.0
9333,24032,24556.177734375,3.0
9341,12616,14183.9931640625,10.0
9339,12454,12718.08203125,4.0
9342,18205,15149.4697265625,8.0
9338,30353,23938.353515625,5.0
9340,16089,15799.783203125,4.0
9336,20144,21695.658203125,9.0
9334,10569,12806.47265625,1.0
9337,41487,34384.84375,3.0
9335,50195,41970.17578125,1.0
9343,34236,26126.6875,10.0
9344,11355,14389.3583984375,3.0
9345,38611,32020.986328125,3.0
9346,15410,16127.1806640625,1.0
9347,14392,13606.2568359375,10.0
9348,18609,15134.634765625,6.0
9349,10387,11703.6435546875,6.0
9351,17261,13637.8447265625,5.0
9350,10145,12324.9248046875,8.0
9360,18864,21156.81640625,9.0
9359,17826,14317.4794921875,4.0
9358,11291,10421.4033203125,2.0
9357,11992,11115.5302734375,7.0
9352,34417,35535.08203125,5.0
9355,11623,7094.36865234375,9.0
9354,11306,15367.2021484375,8.0
9353,18533,19669.064453125,8.0
9356,12115,12379.720703125,5.0
9365,16177,16387.40234375,3.0
9366,23386,25100.29296875,9.0
9367,17738,15770.853515625,9.0
9363,14227,11750.884765625,8.0
9362,14052,14843.7822265625,1.0
9361,9076,10698.6357421875,5.0
9364,40466,32687.00390625,10.0
9368,17556,16196.4521484375,8.0
9369,8886,12612.984375,10.0
9378,27843,24841.65625,1.0
9377,9513,10931.71484375,7.0
9375,9249,11606.2744140625,1.0
9374,12384,8219.314453125,7.0
