iter	Passed	Remaining
0	116	5839541
1	234	5866794
2	341	5698982
3	463	5789801
4	579	5797184
5	694	5788751
6	800	5718277
7	917	5732524
8	1038	5768509
9	1150	5751666
10	1255	5707821
11	1384	5766143
12	1481	5698246
13	1578	5635672
14	1621	5402081
15	1726	5394253
16	1830	5382990
17	1950	5416146
18	2055	5406553
19	2153	5382752
20	2254	5365174
21	2362	5367303
22	2404	5225393
23	2507	5220754
24	2629	5256723
25	2751	5288890
26	2870	5312822
27	2991	5338567
28	3104	5349299
29	3205	5339026
30	3315	5344659
31	3405	5318142
32	3516	5324100
33	3620	5320619
34	3729	5324513
35	3834	5322244
36	3953	5339167
37	4068	5349008
38	4182	5357593
39	4282	5348910
40	4380	5337709
41	4480	5329405
42	4576	5317337
43	4676	5309957
44	4778	5305109
45	4867	5286262
46	4957	5269188
47	5055	5260585
48	5148	5247940
49	5251	5246063
50	5359	5249397
51	5466	5251117
52	5567	5246423
53	5657	5232333
54	5766	5236588
55	5880	5244939
56	5991	5249647
57	6087	5241727
58	6194	5243286
59	6294	5238759
60	6395	5236001
61	6500	5235896
62	6607	5237277
63	6703	5230608
64	6803	5226908
65	6899	5219979
66	6999	5216192
67	7095	5209890
68	7210	5217807
69	7299	5206523
70	7402	5205812
71	7496	5198473
72	7607	5202968
73	7700	5195598
74	7789	5184947
75	7882	5178207
76	7981	5174912
77	8078	5170131
78	8185	5172406
79	8299	5178858
80	8398	5175864
81	8498	5173367
82	8603	5174493
83	8714	5178196
84	8827	5183879
85	8936	5186639
86	9036	5184241
87	9130	5178598
88	9227	5174536
89	9328	5173237
90	9429	5171391
91	9544	5177497
92	9654	5181076
93	9755	5179090
94	9849	5173989
95	9941	5168164
96	10042	5166647
97	10145	5165880
98	10247	5165390
99	10341	5160398
100	10454	5164884
101	10549	5160707
102	10638	5153670
103	10735	5150579
104	10825	5144341
105	10919	5139757
106	11035	5145702
107	11135	5144048
108	11251	5149904
109	11343	5144637
110	11427	5136203
