iter	Logloss
0	0.6611865344
1	0.632466122
2	0.6047494415
3	0.5796099609
4	0.5562077015
5	0.5335538469
6	0.5125090262
7	0.4924841281
8	0.4739539966
9	0.4570567503
10	0.4409807807
11	0.4265502834
12	0.4127112792
13	0.3998025823
14	0.3899109146
15	0.3785537777
16	0.3680516758
17	0.3580993726
18	0.3490625449
19	0.3411365391
20	0.3331419172
21	0.3256257572
22	0.3200550661
23	0.3135503986
24	0.3074277981
25	0.3018714983
26	0.2964133655
27	0.2914726024
28	0.2868141427
29	0.2826650278
30	0.2782576043
31	0.274209081
32	0.2705511215
33	0.2670207398
34	0.2640010994
35	0.2612802277
36	0.2584195537
37	0.2555703901
38	0.2520780864
39	0.2485229417
40	0.2450662498
41	0.2418627235
42	0.2389246576
43	0.2361831139
44	0.233586926
45	0.2311495559
46	0.228802309
47	0.2266638103
48	0.2246503369
49	0.2226804989
50	0.2209386631
51	0.2193089983
52	0.2177710886
53	0.2162783186
54	0.2148412558
55	0.2136397691
56	0.2123515982
57	0.2111397957
58	0.2102512487
59	0.2091440418
60	0.208258838
61	0.2073201096
62	0.2064533603
63	0.2055023228
64	0.2046179757
65	0.2038262541
66	0.2030730248
67	0.2023230063
68	0.2017883509
69	0.2011501381
70	0.2005164722
71	0.1998735889
72	0.1994026607
73	0.1988216511
74	0.1982286879
75	0.1977521594
76	0.1973551399
77	0.1969448431
78	0.1965081397
79	0.196118306
80	0.1956659857
81	0.1952460765
82	0.1947278205
83	0.1944244445
84	0.1941074514
85	0.1938220271
86	0.1934863134
87	0.1931770156
88	0.1928646761
89	0.192592313
90	0.1923728048
91	0.1919979187
92	0.1917171376
93	0.191477124
94	0.1911292807
95	0.1908461675
96	0.1906765244
97	0.190456685
98	0.1902762119
99	0.189905274
100	0.1897111925
101	0.1894698087
102	0.1892094088
103	0.1890025825
104	0.1888067944
105	0.1885962223
106	0.188424824
107	0.1882713785
108	0.1881021896
109	0.1878272212
110	0.1876841232
111	0.1874171763
112	0.1872407822
113	0.1871022098
114	0.1869295035
115	0.1867758711
116	0.1866804635
117	0.1865295418
118	0.1863888319
119	0.1862469613
120	0.1860807761
121	0.1859489646
122	0.1858326152
123	0.1857483962
124	0.185593757
125	0.1855091074
126	0.1853157493
127	0.185155022
128	0.1850663959
129	0.1849066556
130	0.1847806278
131	0.1846273242
132	0.1844835883
133	0.1844064488
134	0.184301206
135	0.1841811857
136	0.1840426949
137	0.183872317
138	0.1836679296
139	0.1835415947
140	0.1834164391
141	0.1832069534
142	0.1830869985
143	0.1829844747
144	0.1828742217
145	0.1827819571
146	0.1826646416
147	0.1825304747
148	0.1824161588
149	0.1823026629
150	0.1822063112
151	0.1821188617
152	0.1820434567
153	0.181844627
154	0.1816824798
155	0.1814909848
156	0.1813440232
157	0.1812616327
158	0.181093432
159	0.1810075128
160	0.1809229774
161	0.1808012354
162	0.1806354579
163	0.1805440484
164	0.1804687028
165	0.1803110853
166	0.1801831161
167	0.1800211921
168	0.1798922407
169	0.1796574853
170	0.1795575039
171	0.1794692419
172	0.1793562951
173	0.1792299596
174	0.179081297
175	0.1789334274
176	0.1788641034
177	0.1787460705
178	0.1786424738
179	0.1785457108
180	0.1784220908
181	0.1783577344
182	0.1782604526
183	0.1781536536
184	0.1780671756
185	0.1779762791
186	0.1778648023
187	0.1777927927
188	0.1777308821
189	0.1776481468
190	0.1775344829
191	0.1774271456
192	0.1773334977
193	0.1772351915
194	0.1771675889
195	0.1770767686
196	0.1769929048
197	0.176891011
198	0.1767936911
199	0.1767424714
200	0.1766682535
201	0.1766144932
202	0.1765264744
203	0.1764161585
204	0.1763310898
205	0.1762100406
206	0.1760288987
207	0.1759318461
208	0.175853458
209	0.1757903908
210	0.1756866167
211	0.1755758991
212	0.1755191126
213	0.1754494431
214	0.1753531041
215	0.1752881318
216	0.175168921
217	0.175100711
218	0.1750118535
219	0.1749315714
220	0.1748466286
221	0.1747857934
222	0.1746888855
223	0.174608646
224	0.1745027346
225	0.1744423322
226	0.1743554716
227	0.1742573714
228	0.1741877412
229	0.1741083117
230	0.1740549546
231	0.1740009521
232	0.1739208761
233	0.1738600854
234	0.1737898531
235	0.1737166921
236	0.1736718249
237	0.1735983845
238	0.1735082247
239	0.1734595051
240	0.1734177055
241	0.1733430414
242	0.1732629572
243	0.1731462009
244	0.1730883624
245	0.173021106
246	0.1729677716
247	0.172877555
248	0.1727973285
249	0.1727360153
250	0.172665229
251	0.1726056312
252	0.1725518681
253	0.1724956738
254	0.1724046375
255	0.1723230599
256	0.1722351243
257	0.1721841794
258	0.1721062241
259	0.1720495207
260	0.1719748606
261	0.1719140741
262	0.1718622719
263	0.1717894341
264	0.1717098292
265	0.1716633936
266	0.1716072996
267	0.1715587587
268	0.171476355
269	0.1714099085
270	0.1713304424
271	0.1712451776
272	0.171129886
273	0.1710825475
274	0.1710192049
275	0.1709775825
276	0.1708989716
277	0.1708259267
278	0.1707494504
279	0.1706824501
280	0.1706305763
281	0.1705307506
282	0.1704764947
283	0.1704213175
284	0.1703615451
285	0.1703354251
286	0.170285921
287	0.1702513357
288	0.1701777176
289	0.1701216883
290	0.1700684717
291	0.1700377671
292	0.1699699731
