iter	Passed	Remaining
0	0	37182
1	1	35306
2	2	35272
3	2	34741
4	3	33809
5	3	33313
6	4	33358
7	5	33067
8	5	33098
9	6	32859
10	7	32679
11	7	32880
12	8	33118
13	9	33499
14	10	33881
15	10	34245
16	11	34741
17	12	34672
18	13	34980
19	13	34968
20	14	35381
21	15	35488
22	16	35527
23	17	35754
24	17	35786
25	18	35899
26	19	36054
27	20	36237
28	20	36209
29	21	36125
30	22	36188
31	22	36220
32	23	36111
33	24	36201
34	25	36280
35	25	36232
36	26	36429
37	27	36479
38	28	36413
39	28	36385
40	29	36364
41	30	36337
42	31	36412
43	31	36691
44	32	36720
45	33	36764
46	34	36680
47	34	36618
48	35	36643
49	36	36840
50	37	36840
51	38	36880
52	38	36847
53	39	36857
54	40	36850
55	40	36797
56	41	36798
57	42	36830
58	43	36856
59	43	36958
60	44	37032
61	45	37372
62	46	37388
63	47	37318
64	48	37371
65	48	37303
66	49	37263
67	50	37321
68	51	37406
69	51	37444
70	52	37448
71	53	37429
72	54	37482
73	55	37561
74	55	37475
75	56	37396
76	57	37367
77	57	37356
78	58	37313
79	59	37318
80	60	37359
81	60	37330
82	61	37397
83	62	37393
84	63	37387
85	63	37348
86	64	37285
87	65	37306
88	65	37256
89	66	37210
90	67	37248
91	67	37229
92	68	37254
93	69	37237
94	70	37385
95	71	37478
96	72	37442
97	72	37470
98	73	37517
99	74	37526
100	75	37589
101	76	37578
102	76	37622
103	77	37634
104	78	37672
105	79	37778
106	80	37801
107	80	37791
108	81	37811
109	82	37828
110	83	37829
111	84	38045
112	85	38073
113	86	38069
114	86	38046
115	87	38003
116	88	37980
117	89	38009
118	90	38106
119	90	38069
120	91	38041
121	92	38075
122	92	38089
123	93	38112
124	94	38136
125	95	38122
126	96	38158
127	96	38128
128	97	38141
129	98	38131
130	99	38164
131	99	38156
132	100	38146
133	101	38131
134	102	38146
135	103	38163
136	103	38193
137	104	38207
138	105	38263
139	106	38295
140	107	38331
141	109	38665
142	109	38619
143	110	38588
144	111	38605
145	111	38625
146	112	38657
147	113	38742
148	114	38751
149	115	38728
150	116	38757
151	117	38757
152	117	38765
153	118	38765
154	119	38773
155	120	38744
156	121	38838
157	121	38813
158	122	38823
159	123	38831
160	124	38809
161	124	38799
162	125	38798
163	126	38771
164	127	38762
165	127	38805
166	128	38760
167	129	38708
168	130	38727
169	130	38709
170	131	38705
171	132	38734
172	133	38728
173	134	38809
174	134	38783
175	135	38793
176	136	38778
177	137	38746
178	138	38797
179	138	38783
180	139	38841
181	140	38879
182	141	38898
183	142	38939
184	143	38971
185	144	39054
186	145	39060
187	146	39094
188	147	39164
189	147	39173
190	148	39158
191	149	39159
192	150	39197
193	153	39796
194	155	40002
195	156	40054
196	156	40071
197	157	40051
198	158	40071
199	159	40051
200	160	40054
201	160	40018
202	161	40003
203	162	39983
204	162	39990
205	163	39995
206	164	39981
207	165	39971
208	166	39948
209	166	39936
210	167	39937
211	168	39931
212	169	39919
213	170	39952
214	170	39991
215	171	39980
216	172	39996
217	174	40135
218	174	40139
219	175	40104
220	176	40080
221	177	40088
222	177	40086
223	178	40084
224	179	40085
225	180	40068
226	180	40050
227	181	40043
228	182	40005
229	183	40045
230	184	40045
231	184	40038
232	185	40043
233	186	40020
234	187	40053
235	187	40027
236	188	40016
237	189	40002
238	190	39996
239	190	39993
240	191	39964
241	192	39984
242	193	39964
243	194	39979
244	194	39976
245	195	39980
246	196	39973
247	197	39971
248	198	39965
249	198	39956
250	199	39974
251	200	39956
252	201	39940
253	201	39926
254	202	39903
255	203	39890
256	203	39862
257	204	39851
258	205	39818
259	205	39796
260	206	39829
261	207	39840
262	208	39815
263	209	39803
264	209	39791
265	210	39821
266	211	39842
267	212	39837
268	213	39818
269	214	39813
270	214	39824
271	215	39792
272	216	39781
273	216	39758
274	217	39751
275	218	39725
276	219	39752
277	219	39731
278	220	39728
279	221	39716
280	222	39693
281	222	39693
